,Alemão,Português
0,ich,eu
1,sie,elas
2,das,a
3,ist,é
4,du,de
5,nicht,Não
6,die,a
7,es,é
8,und,e
9,der,do
10,wir,nós
11,was,estava
12,zu,para
13,er,ele
14,ein,sobre
15,in,no
16,ja,sim
17,mir,mim
18,mit,Com
19,wie,quão
20,den,a
21,mich,mim
22,auf,sobre
23,dass,que
24,aber,mas
25,eine,uma
26,so,então
27,hat,Tem
28,hier,aqui
29,haben,Ter
30,für,Pra
31,sind,estamos
32,war,guerra
33,von,a partir de
34,wenn,E se
35,dich,vocês
36,ihr,sua
37,nein,Não
38,habe,ter
39,an,a
40,bin,sou
41,noch,ainda
42,nur,apenas
43,da,da
44,dir,para você
45,sich,você mesmo
46,einen,1
47,uns,nós
48,hast,ter
49,dem,a
50,kann,posso
51,gut,Bom
52,auch,Além disso
53,schon,bonito
54,als,quando
55,sein,estar
56,mal,vezes
57,jetzt,agora
58,ihn,dele
59,dann,então
60,aus,Fora
61,meine,minha
62,um,um
63,im,no
64,wird,torna-se
65,mein,minha
66,bist,estamos
67,doch,mas
68,alles,tudo
69,weiß,Branco
70,keine,Nenhum
71,oder,ou
72,nach,para
73,s,s
74,nichts,Nenhuma coisa
75,man,cara
76,muss,ter que
77,werden,tornar-se
78,will,vontade
79,ihnen,eles
80,geht,indo
81,wo,Onde
82,etwas,algo
83,oh,Oh
84,mehr,mais
85,bei,no
86,also,Além disso
87,bitte,De nada
88,immer,sempre
89,hab,hab
90,warum,Por que
91,vor,em frente
92,los,a
93,können,posso
94,wieder,de novo
95,sagen,dizer
96,machen,Faz
97,danke,Obrigado
98,sehr,muito
99,alle,todo
100,denn,Porque
101,mann,cara
102,tun,façam
103,ihm,dele
104,zum,ao
105,gehen,andar
106,sehen,Vejo
107,vielleicht,pode ser
108,einem,1
109,wer,quem
110,ihre,seu
111,diese,esses
112,euch,para você
113,einer,1
114,komm,venha aqui
115,über,sobre
116,gibt,dá
117,okay,Certo
118,wissen,conhecimento
119,deine,Sua
120,müssen,precisa
121,soll,deve
122,werde,vontade
123,nie,não
124,wirklich,mesmo
125,hey,ei
126,kein,não
127,viel,um monte de
128,weg,caminho
129,würde,seria
130,tut,faz
131,am,sou
132,des,do
133,einfach,fácil
134,leben,Vida
135,hatte,teria
136,zeit,Tempo
137,weil,Porque
138,willst,quer
139,kommen,vir
140,dein,seu
141,heute,hoje
142,kommt,chegando
143,wollen,quer
144,damit,a fim de
145,ganz,todo
146,wäre,seria
147,wollte,procurado
148,weißt,conhecer
149,ok,OK
150,sicher,com certeza
151,gesagt,contou
152,frau,Sra
153,nun,agora
154,bis,para
155,wurde,foi
156,leid,Sofrimento
157,na,n / D
158,kannst,posso
159,macht,faz
160,dieser,esta
161,zurück,voltar
162,lassen,deixar
163,hallo,Oi
164,meinen,dizer
165,gott,Boa
166,seine,seu
167,hätte,teria
168,zwei,dois
169,könnte,poderia
170,genau,eu concordo
171,waren,estavam
172,zur,para
173,lass,deixei
174,klar,Claro
175,morgen,manhã
