Alemão,de-pt,Polonês,pl-pt
ich,eu,nie,não
sie,elas,to,esta
das,a,się,ele mesmo
ist,é,w,no
du,vocês,na,sobre
nicht,Não,i,e
die,a,że,que
es,isto,z,com
und,e,co,O que
der,do,jest,é
wir,nós,do,baixa
was,O que,tak,sim
zu,para,o,cerca de
er,ele,jak,quão
ein,sobre,ale,mas
in,no,a,e
ja,sim,mnie,mim
mir,mim,mi,para mim
mit,Com,za,atras do
wie,quão,ja,eu
den,a,tym,esta
mich,mim,tego,esta
auf,sobre,go,dele
dass,que,ci,esses
aber,mas,po,depois de
eine,uma,tylko,só
so,então,czy,se
hat,Tem,tu,aqui
hier,aqui,może,pode ser
haben,Ter,jestem,eu sou
für,Pra,ma,Tem
sind,estamos,ty,vocês
war,estava,cię,vocês
von,a partir de,mam,eu tenho
wenn,E se,jesteś,Tu es
dich,vocês,już,já
ihr,sua,jeśli,E se
nein,Não,dla,pra
habe,ter,wiem,eu sei
an,no,coś,algo
bin,sou,dobrze,Nós vamos
noch,ainda,więc,então
nur,apenas,od,a partir de
da,lá,teraz,agora
dir,para você,pan,Senhor
sich,você mesmo,wszystko,tudo
einen,1,być,estar
uns,nós,będzie,vontade
hast,ter,masz,você tem
dem,a,nic,Fio
kann,posso,tam,bem ali
gut,Bom,mogę,Eu posso
auch,Além disso,proszę,Por favor
schon,bonito,jej,sua
als,quando,są,estamos
sein,estar,gdzie,Onde
mal,vezes,kiedy,quando
jetzt,agora,ten,esta
ihn,dele,on,ele
dann,então,ciebie,vocês
aus,Fora,by,seria
meine,minha,sobie,ele mesmo
um,por aí,ze,que
im,no,był,Era
wird,torna-se,wiesz,Você sabe
mein,minha,bardzo,muito
bist,estamos,było,isso foi
doch,mas,przez,de
alles,tudo,jego,seu
weiß,Branco,ją,eu
keine,Nenhum,chcę,quer
oder,ou,dlaczego,porque
nach,para,pani,vocês
s,s,jeszcze,ainda
nichts,Nenhuma coisa,mój,minha
man,vocês,nas,nós
muss,ter que,żeby,a fim de
werden,tornar-se,no,Nós vamos
will,quer,bo,Porque
ihnen,eles,chcesz,quer
geht,indo,ich,deles
wo,Onde,też,Além disso
etwas,algo,tutaj,aqui
oh,Oh,naprawdę,mesmo
mehr,mais,nigdy,Nunca
bei,no,mamy,temos
also,então,kto,quem
bitte,De nada,możesz,você pode
immer,sempre,dobra,OK
hab,hab,przepraszam,Desculpe-me
warum,Por que,mu,dele
vor,em frente,gdy,E se
los,Vamos,muszę,Eu tenho que
können,posso,porządku,direita
wieder,de novo,dziękuję,obrigada
sagen,dizer,nawet,até
machen,Faz,chyba,certamente
danke,Obrigado,domu,casa
sehr,muito,ona,ela
alle,todo,prawda,verdade
denn,Porque,zrobić,Faz
mann,cara,była,estava
tun,façam,właśnie,apenas
ihm,dele,będę,Eu irei
zum,ao,zawsze,sempre
gehen,andar,hej,Oi
sehen,Vejo,nim,isto
vielleicht,pode ser,nam,NÓS
einem,1,te,esses
wer,quem,moja,minha
ihre,seu,musisz,vocês
diese,esses,je,eles
euch,para você,dzięki,obrigado
einer,1,bez,sem
komm,venha aqui,tej,esta
über,sobre,trochę,alguns
gibt,dá,ktoś,alguém
okay,OK,panie,Senhor.
wissen,conhecimento,jesteśmy,estamos
deine,Sua,moje,minha
müssen,precisa,powiedzieć,contar
soll,deve,który,que
werde,vontade,czas,Tempo
nie,Nunca,więcej,mais
wirklich,mesmo,twój,Sua
hey,ei,musimy,temos
kein,não,lat,anos
viel,um monte de,ta,esta
weg,caminho,chce,quer
würde,seria,możemy,Nós podemos
tut,faz,wszyscy,todo o mundo
am,no,tobą,vocês
des,de,albo,ou
einfach,fácil,prostu,apenas
leben,Vida,chodzi,vêm
hatte,teria,razem,juntos
zeit,Tempo,stało,ocorrido
weil,Porque,cześć,Olá
willst,quer,mną,mim
kommen,vir,czego,o que
dein,seu,sam,sozinho
heute,hoje,myślę,eu acho que
kommt,chegando,pana,Senhor
wollen,quer,przed,em frente
damit,a fim de,boże,Deus
ganz,todo,raz,uma vez
wäre,seria,czemu,porque
wollte,procurado,będziesz,vocês
weißt,conhecer,niż,que
ok,OK,ludzie,pessoas
sicher,com certeza,dalej,adicional
gesagt,contou,czym,e
frau,Sra,was,bigode
nun,agora,dobry,Boa
bis,para,przy,no
wurde,foi,ludzi,pessoas
leid,Sofrimento,dzień,dia
na,n / D,życie,vida
kannst,posso,lepiej,Melhor
macht,faz,miał,Ele tinha
dieser,esta,rzeczy,as coisas
zurück,voltar,twoja,seu
lassen,deixar,czasu,Tempo
hallo,Oi,ok,Certo
meinen,dizer,temu,atrás
gott,Deus,robisz,Você faz
seine,seu,myślisz,você pensa
hätte,teria,kim,Que é
zwei,dois,niech,deixei
könnte,poderia,które,que
genau,eu concordo,oczywiście,é claro
waren,estavam,siebie,uns aos outros
zur,para,niego,dele
lass,deixei,cóż,Nós vamos
klar,Claro,powiedział,Ele disse
morgen,manhã,u,no
leute,Pessoas,daj,dar
vater,pai,moim,minha
schön,bonito,chodź,vir
glaube,fé,musi,deve
mr.,senhor.,my,nós
ab,a partir de,nikt,ninguém
gerade,direto,twoje,seu
tag,Dia,tych,esses
gesehen,visto,pod,sob
